weighted_positive_score,weighted_neutral_score,weighted_negative_score,total,Date,Open,High,Low,Close,Adj Close,Volume
0.3223856710975131,0.5795572353119302,0.0980570935905567,9292882.0,2021-02-05,36931.546875,38225.90625,36658.76171875,38144.30859375,38144.30859375,58598066402
0.3698366905061089,0.5516094609443593,0.0785538485495319,35499712.0,2021-02-06,38138.38671875,40846.546875,38138.38671875,39266.01171875,39266.01171875,71326033653
0.3728722069547426,0.3947464672914229,0.2323813257538344,45388049.0,2021-02-07,39250.19140625,39621.8359375,37446.15234375,38903.44140625,38903.44140625,65500641143
0.4990374870488718,0.4051855905289839,0.0957769224221442,280623237.0,2021-02-08,38886.828125,46203.9296875,38076.32421875,46196.46484375,46196.46484375,101467222687
0.5713316871424438,0.2790325682234466,0.1496357446341097,268020760.0,2021-02-09,46184.9921875,48003.72265625,45166.9609375,46481.10546875,46481.10546875,91809846886
0.5424275361658726,0.335979066534461,0.1215933972996664,205278194.0,2021-02-10,46469.76171875,47145.56640625,43881.15234375,44918.18359375,44918.18359375,87301089896
0.2406948684446171,0.6734348833004128,0.0858702482549701,218208441.0,2021-02-13,47491.203125,48047.74609375,46392.28125,47105.515625,47105.515625,70250456155
0.2951212900893158,0.5258711682994192,0.1790075416112649,210471071.0,2021-02-14,47114.5078125,49487.640625,47114.5078125,48717.2890625,48717.2890625,71248675228
0.332210120017833,0.4375702175140357,0.2302196624681313,233537711.0,2021-02-15,48696.53515625,48875.5703125,46347.4765625,47945.05859375,47945.05859375,77069903166
0.4882164285403349,0.3965909259851016,0.1151926454745634,280489070.0,2021-02-18,52140.97265625,52474.10546875,51015.765625,51679.796875,51679.796875,52054723579
0.455004919317019,0.4212089292120325,0.1237861514709484,557437138.0,2021-02-19,51675.98046875,56113.65234375,50937.27734375,55888.1328125,55888.1328125,63495496918
0.4731167630615196,0.4105327840334582,0.1163504529050221,547097157.0,2021-02-22,57532.73828125,57533.390625,48967.56640625,54207.3203125,54207.3203125,92052420332
0.4681143423518736,0.4147582678387679,0.1171273898093584,224517229.0,2021-02-28,46194.015625,46716.4296875,43241.6171875,45137.76953125,45137.76953125,53443887451
0.0943450191098081,0.7846830908759604,0.1209718900142314,32516025.0,2021-03-11,55963.1796875,58091.0625,54484.59375,57805.12109375,57805.12109375,56772343595
0.4910562837721587,0.4263543886556116,0.0825893275722296,430559166.0,2021-03-12,57821.21875,57996.62109375,55376.6484375,57332.08984375,57332.08984375,55689944702
0.4137384199136643,0.5033953540883519,0.0828662259979838,217458763.0,2021-04-05,58760.875,59891.296875,57694.82421875,59057.87890625,59057.87890625,60706272115
0.2890128424742924,0.5316672120242215,0.179319945501486,406176947.0,2021-04-06,59171.93359375,59479.578125,57646.80859375,58192.359375,58192.359375,66058027988
0.2604360762417368,0.590713295356834,0.1488506284014291,491037712.0,2021-04-07,58186.5078125,58731.14453125,55604.0234375,56048.9375,56048.9375,75645303584
0.3016543850030276,0.502893413782465,0.1954522012145074,607225282.0,2021-04-08,56099.9140625,58338.73828125,55879.0859375,58323.953125,58323.953125,53053855641
0.2611068181236151,0.5684934987587195,0.1703996831176654,450069898.0,2021-04-09,58326.5625,58937.046875,57807.86328125,58245.00390625,58245.00390625,46655208546
0.3415954537661045,0.4903897234099025,0.168014822823993,574966282.0,2021-04-10,58253.77734375,61276.6640625,58038.70703125,59793.234375,59793.234375,58238470525
0.2824290206157237,0.6141351411375692,0.1034358382467071,251217909.0,2021-04-11,59846.23046875,60790.5546875,59289.796875,60204.96484375,60204.96484375,46280252580
0.4873511075169989,0.3895160311321931,0.1231328613508079,357614511.0,2021-04-12,60175.9453125,61253.03515625,59589.875,59893.453125,59893.453125,51828688519
0.1972261405672009,0.5491886559802712,0.2535852034525277,26357500.0,2021-04-17,61529.921875,62572.17578125,60361.3515625,60683.8203125,60683.8203125,66138759198
0.1747508498237531,0.5480578278424576,0.2771913223337892,438644482.0,2021-04-18,60701.88671875,61057.45703125,52829.53515625,56216.18359375,56216.18359375,97468872758
0.1623177309161074,0.5622514024077372,0.2754308666761554,462069791.0,2021-04-19,56191.5859375,57520.0546875,54368.59375,55724.265625,55724.265625,65344865159
0.2034263298976716,0.4531487439190448,0.3434249261832836,421695471.0,2021-04-20,55681.79296875,57062.1484375,53448.046875,56473.03125,56473.03125,67849323955
0.2092055749130421,0.516442369961223,0.2743520551257349,371385452.0,2021-04-21,56471.12890625,56757.97265625,53695.46875,53906.08984375,53906.08984375,54926612466
0.1962199079392888,0.5805644761442889,0.2232156159164223,331253361.0,2021-04-22,53857.10546875,55410.23046875,50583.8125,51762.2734375,51762.2734375,74798630778
0.2576554394096556,0.4983974063650284,0.243947154225316,331719463.0,2021-04-23,51739.80859375,52120.79296875,47714.6640625,51093.65234375,51093.65234375,86668667320
0.2351699016019252,0.5310393119108325,0.2337907864872422,166127539.0,2021-04-24,51143.2265625,51167.5625,48805.28515625,50050.8671875,50050.8671875,49014494781
0.1956097804759816,0.5392607299270263,0.2651294895969919,122679469.0,2021-05-25,38795.78125,39776.3515625,36581.4296875,38402.22265625,38402.22265625,56211915803
0.2665797545060583,0.547864069930869,0.1855561755630726,178404647.0,2021-05-26,38392.625,40782.078125,37905.8359375,39294.19921875,39294.19921875,51346735160
0.2283369498466438,0.5347734454694796,0.2368896046838765,84180528.0,2021-05-27,39316.890625,40379.6171875,37247.90234375,38436.96875,38436.96875,43210968721
0.1961341340929122,0.586138741873662,0.2177271240334257,43127052.0,2021-05-28,38507.08203125,38856.96875,34779.0390625,35697.60546875,35697.60546875,55200191952
0.2367444133275033,0.5784511559513479,0.1848044307211487,3112631.0,2021-05-29,35684.15625,37234.5,33693.9296875,34616.06640625,34616.06640625,45231013335
